0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Shot Chart Detail,0042100314,341,202691,Klay Thompson,1610612744,Golden State Warriors,3,11,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-134,212,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,343,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,3,10,41,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,11,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,345,203952,Andrew Wiggins,1610612744,Golden State Warriors,3,10,21,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,27,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,349,201939,Stephen Curry,1610612744,Golden State Warriors,3,10,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,124,81,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,351,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,3,9,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,34,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,353,203110,Draymond Green,1610612744,Golden State Warriors,3,9,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,71,241,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,355,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,9,24,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,15,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,359,201939,Stephen Curry,1610612744,Golden State Warriors,3,9,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,134,227,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,361,1628973,Jalen Brunson,1610612742,Dallas Mavericks,3,9,2,Missed Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-36,14,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,363,202691,Klay Thompson,1610612744,Golden State Warriors,3,8,55,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-153,251,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,369,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,8,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-169,176,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,371,202691,Klay Thompson,1610612744,Golden State Warriors,3,8,30,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,7,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,377,203493,Reggie Bullock,1610612742,Dallas Mavericks,3,8,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,3,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,379,203952,Andrew Wiggins,1610612744,Golden State Warriors,3,7,47,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,10,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,381,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,7,30,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,94,136,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,384,203952,Andrew Wiggins,1610612744,Golden State Warriors,3,7,26,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,389,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,6,57,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,75,250,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,398,1629029,Luka Doncic,1610612742,Dallas Mavericks,3,6,36,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-130,218,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,400,203952,Andrew Wiggins,1610612744,Golden State Warriors,3,6,23,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,5,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,402,1628973,Jalen Brunson,1610612742,Dallas Mavericks,3,6,12,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,6,190,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,404,201939,Stephen Curry,1610612744,Golden State Warriors,3,6,1,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-176,176,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,407,1628373,Frank Ntilikina,1610612742,Dallas Mavericks,3,5,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-152,0,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,409,202691,Klay Thompson,1610612744,Golden State Warriors,3,5,33,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,138,11,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,416,1629673,Jordan Poole,1610612744,Golden State Warriors,3,5,4,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,418,203493,Reggie Bullock,1610612742,Dallas Mavericks,3,4,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-64,243,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,420,1629673,Jordan Poole,1610612744,Golden State Warriors,3,4,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,71,237,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,422,1628467,Maxi Kleber,1610612742,Dallas Mavericks,3,4,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,20,1,1,20220524,DAL,GSW
