My Circle,My Rank,Circle Ring,User,Circle Person,User rank,User Ring,Is Me,Common
@jreevers5,32.,3,@jreevers5,@Matt_Francis,13.,2,no,no
@jreevers5,32.,3,@jreevers5,@StyleSTEAMed,14.,2,no,yes
@jreevers5,32.,3,@jreevers5,@nicolemark_,15.,2,no,yes
@jreevers5,32.,3,@jreevers5,@WJSutton12,16.,2,no,yes
@jreevers5,32.,3,@jreevers5,@ItsElisaDavis,17.,2,no,yes
@jreevers5,32.,3,@jreevers5,@ZenDollData,18.,2,no,yes
@jreevers5,32.,3,@jreevers5,@NicoleKlassen12,19.,2,no,yes
@jreevers5,32.,3,@jreevers5,@WindsCogley,20.,2,no,no
@jreevers5,32.,3,@jreevers5,@jaxx084,21.,2,no,no
@jreevers5,32.,3,@jreevers5,@SpotOn_DRTV,22.,2,no,yes
@jreevers5,32.,3,@jreevers5,@dbfmurray,23.,2,no,yes
@jreevers5,32.,3,@jreevers5,@flerlagekr,24.,2,no,no
@jreevers5,32.,3,@jreevers5,@_CJMayes,25.,3,no,yes
@jreevers5,32.,3,@jreevers5,@MarkBradbourne,26.,3,no,no
@jreevers5,32.,3,@jreevers5,@JSBaucke,27.,3,no,no
@jreevers5,32.,3,@jreevers5,@ladataviz,28.,3,no,no
@jreevers5,32.,3,@jreevers5,@aabattani,29.,3,no,no
@jreevers5,32.,3,@jreevers5,@HighVizAbility,30.,3,no,no
@jreevers5,32.,3,@jreevers5,@abmakulec,31.,3,no,no
@jreevers5,32.,3,@jreevers5,@emilykund,32.,3,no,no
@jreevers5,32.,3,@jreevers5,@MaryGAronson,33.,3,no,no
@jreevers5,32.,3,@jreevers5,@JackHineman,34.,3,no,no
@jreevers5,32.,3,@jreevers5,@wia_community,35.,3,no,no
@jreevers5,32.,3,@jreevers5,@VizByMoon,36.,3,yes,no
@jreevers5,32.,3,@jreevers5,@ShreyaNadkarni4,37.,3,no,no
@jreevers5,32.,3,@jreevers5,@TheVizardOfAhs,38.,3,no,yes
@jreevers5,32.,3,@jreevers5,@maf2k,39.,3,no,yes
@jreevers5,32.,3,@jreevers5,@adastra1930,40.,3,no,no
@jreevers5,32.,3,@jreevers5,@BMooreWasTaken,41.,3,no,yes
@jreevers5,32.,3,@jreevers5,@DataRevelations,42.,3,no,no
@jreevers5,32.,3,@jreevers5,@Rehanposts,43.,3,no,yes
@jreevers5,32.,3,@jreevers5,@theneilrichards,44.,3,no,no
@jreevers5,32.,3,@jreevers5,@SaloniViz,45.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@StyleSTEAMed,1.,1,no,yes
@DataDivergent,33.,3,@DataDivergent,@tableau,2.,1,no,yes
@DataDivergent,33.,3,@DataDivergent,@ItsElisaDavis,3.,1,no,yes
@DataDivergent,33.,3,@DataDivergent,@KevinWee90,4.,1,no,yes
@DataDivergent,33.,3,@DataDivergent,@NicoleKlassen12,5.,1,no,yes
@DataDivergent,33.,3,@DataDivergent,@nicolemark_,6.,1,no,yes
@DataDivergent,33.,3,@DataDivergent,@tableaupublic,7.,1,no,yes
@DataDivergent,33.,3,@DataDivergent,@SpotOn_DRTV,8.,1,no,yes
@DataDivergent,33.,3,@DataDivergent,@maf2k,9.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@HipsterVizNinja,10.,2,no,no
@DataDivergent,33.,3,@DataDivergent,@KCCKGraphics,11.,2,no,no
@DataDivergent,33.,3,@DataDivergent,@datadzif,12.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@brrosenau,13.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@FlerlageKev,14.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@AdamMico1,15.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@ZenDollData,16.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@Lions,17.,2,no,no
@DataDivergent,33.,3,@DataDivergent,@Lodhaviz,18.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@emdepad,19.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@sarahlovesdata,20.,2,no,yes
@DataDivergent,33.,3,@DataDivergent,@UMichFootball,21.,2,no,no
@DataDivergent,33.,3,@DataDivergent,@imsarahcarr,22.,2,no,no
@DataDivergent,33.,3,@DataDivergent,@WindsCogley,23.,2,no,no
@DataDivergent,33.,3,@DataDivergent,@VizByMoon,24.,2,yes,no
@DataDivergent,33.,3,@DataDivergent,@DatafamCon,25.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@MarkBradbourne,26.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@_Lorna_Brown,27.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@brandibeals,28.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@boknowsdata,29.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@_gringuinho_,30.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@aabattani,31.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@ReadySetData,32.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@xrayattack,33.,3,no,no
@DataDivergent,33.,3,@DataDivergent,@WorkoutWednsday,34.,3,no,no
