Region,Life Expectancy - Interpolated,Year,Quadrant Region,African Region,Rank,Country Name
Africa,54.82,2001,Africa,Western Africa,114,Country 114
Western Pacific,76.040001,2015,Asia and Oceania,,112,Country 112
Europe,69.239998,2009,Asia and Oceania,,56,Country 56
Europe,77.089996,1997,Europe,,116,Country 116
Eastern Mediterranean,62.279999,1998,Asia and Oceania,,30,Country 30
Africa,61.959999,2009,Africa,Central Africa,11,Country 11
Americas,80.099998,2014,Americas,,15,Country 15
Africa,60.790001,2007,Africa,Western Africa,12,Country 12
Europe,79.25,2005,Europe,,16,Country 16
Africa,53.75,2006,Africa,Western Africa,122,Country 122
Africa,72.879997,2008,Africa,Eastern Africa,117,Country 117
Africa,59.34,1998,Africa,Southern Africa,162,Country 162
Africa,59.200001,2016,Africa,Eastern Africa,135,Country 135
Africa,56.439999,1999,Africa,Western Africa,31,Country 31
Americas,75.290001,2004,Americas,,146,Country 146
Eastern Mediterranean,70.489998,2007,Africa,Northern Africa,144,Country 144
Africa,71.209999,2007,Africa,Western Africa,6,Country 6
Eastern Mediterranean,67.519997,2015,Asia and Oceania,,145,Country 145
Europe,79.860001,2011,Europe,,132,Country 132
Americas,80.650002,2007,Americas,,147,Country 147
Africa,56.400002,2005,Africa,Central Africa,103,Country 103
Western Pacific,62.330002,1999,Asia and Oceania,,140,Country 140
Africa,59.880001,2006,Africa,Western Africa,164,Country 164
Europe,81.480003,2006,Europe,,95,Country 95
Americas,73.709999,1998,Americas,,143,Country 143
Eastern Mediterranean,73.739998,2005,Asia and Oceania,,90,Country 90
Europe,75.349998,2002,Asia and Oceania,,4,Country 4
Africa,51.48,2004,Africa,Southern Africa,162,Country 162
South-East Asia,61.509998,2001,Asia and Oceania,,36,Country 36
Western Pacific,73.139999,2010,Asia and Oceania,,105,Country 105
Africa,56.880001,2008,Africa,Western Africa,35,Country 35
South-East Asia,62.580002,1998,Asia and Oceania,,43,Country 43
Africa,57.529999,2014,Africa,Western Africa,122,Country 122
Africa,71.389999,2000,Africa,Eastern Africa,117,Country 117
Europe,80.910004,2014,Europe,,1,Country 1
