title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe,Date_Use
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Cable Pull Through,,"",3,normal,22.5,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Bicycle Crunch,,"",0,normal,,40,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Bicycle Crunch,,"",1,normal,,40,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Bicycle Crunch,,"",2,normal,,40,,,,2023-09-12
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lateral Raise (Dumbbell),,"",0,normal,7.5,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lateral Raise (Dumbbell),,"",1,normal,10,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lateral Raise (Dumbbell),,"",2,normal,10,12,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lateral Raise (Dumbbell),,"",3,normal,12.5,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lateral Raise (Dumbbell),,"",4,normal,12.5,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lateral Raise (Dumbbell),,"",5,normal,12.5,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Shoulder Press (Dumbbell),,"",0,normal,12.5,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Shoulder Press (Dumbbell),,"",1,normal,12.5,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Shoulder Press (Dumbbell),,"",2,normal,12.5,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Shoulder Press (Dumbbell),,"",3,normal,12.5,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Plate Front Raise,0,"",0,normal,10,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Plate Front Raise,0,"",1,normal,10,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Plate Front Raise,0,"",2,normal,10,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Plate Front Raise,0,"",3,normal,10,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Shrug (Dumbbell),0,"",0,normal,20,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Shrug (Dumbbell),0,"",1,normal,20,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Shrug (Dumbbell),0,"",2,normal,20,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Shrug (Dumbbell),0,"",3,normal,20,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Crunch,,"",0,normal,,12,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Crunch,,"",1,normal,,12,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Crunch,,"",2,normal,,12,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lying Leg Raise,,"",0,normal,,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lying Leg Raise,,"",1,normal,,10,,,,2023-09-11
Morning workout ☀️,"11 Sep 2023, 07:32","11 Sep 2023, 08:05","",Lying Leg Raise,,"",2,normal,,10,,,,2023-09-11
