event_use,order ,event_id,event_type,result,success,period_id,timestamp,end_timestamp,ball_state,ball_owning_team,team_id,player_id,coordinates_x,coordinates_y,end_coordinates_x,end_coordinates_y,receiver_player_id,set_piece_type,body_part_type,pass_type,card_type
,,4da3c987-54dc-4139-a84f-f966f7a92dc7,PASS,COMPLETE,TRUE,1,184.122,186.9582,alive,851,851,15623,55.65,43.05,83.95,34.75,10649,,LEFT_FOOT,,
,,5cf0fabf-f0d5-4be1-bfe5-9711a221f842,GENERIC:Pressure,,,1,185.864,,alive,851,1214,5021,39.15,44.75,,,,,,,
,,0d1a39bc-7bff-4070-9323-dd6ab89e98a2,GENERIC:Ball Receipt*,,,1,186.958,,alive,851,851,10649,83.95,34.75,,,,,,,
,,50994d1c-b689-4515-919f-1928c57ed64e,CARRY,COMPLETE,TRUE,1,186.958,187.058297,alive,851,851,10649,83.95,34.75,83.65,41.05,,,,,
,,79b335f7-3be9-45e2-ac24-e28702532687,GENERIC:Dribbled Past,,,1,187.058,,alive,851,1214,5021,37.25,39.85,,,,,,,
,,ff5eeb2f-1905-4d26-a9b3-ffbb3747831b,TAKE_ON,COMPLETE,TRUE,1,187.058,,alive,851,851,10649,83.65,41.05,,,,,,,
,,a1e76a24-095a-416b-b946-b03d23d263f2,CARRY,COMPLETE,TRUE,1,187.058,189.216903,alive,851,851,10649,83.65,41.05,83.65,42.65,,,,,
,,05699f21-52c6-4fca-b259-bc05d8608c28,PASS,OUT,FALSE,1,189.217,191.4482,alive,851,851,10649,83.65,42.65,105.95,79.55,,,RIGHT_FOOT,LONG_BALL,
,,05699f21-52c6-4fca-b259-bc05d8608c28,BALL_OUT,,,1,189.217,,dead,851,851,10649,105.95,79.55,,,,,,,
,,0062e3ae-787d-4456-8036-328ed164b67b,GENERIC:Ball Receipt*,,,1,191.449,,alive,851,851,10656,100.55,62.95,,,,,,,
,,3d6eeed9-42a6-469d-bd28-e0876ba75e3e,PASS,COMPLETE,TRUE,1,211.436,212.3363,alive,1214,1214,5088,14.65,0.95,25.55,2.75,8298,THROW_IN,,HIGH_PASS,
,,f3b8c032-73b9-4296-ae9d-dfbfb6111884,GENERIC:Pressure,,,1,212.049,,alive,1214,851,10658,94.85,76.85,,,,,,,
,,da76f707-9343-4896-9600-ab54d770b0bc,GENERIC:Ball Receipt*,,,1,212.336,,alive,1214,1214,8298,25.55,2.75,,,,,,,
,,fac9e5fe-f17a-49ab-ab17-a7754c4215ac,CARRY,COMPLETE,TRUE,1,212.336,213.2604,alive,1214,1214,8298,25.55,2.75,24.65,3.65,,,,,
,,98a148f4-dccf-4c62-ba63-db78bdb3d30d,PASS,COMPLETE,TRUE,1,213.261,213.889688,alive,1214,1214,8298,24.65,3.65,16.65,4.15,5088,,RIGHT_FOOT,,
,,e45ef29a-d8fb-4405-b7c2-d00015aa89bd,GENERIC:Ball Receipt*,,,1,213.889,,alive,1214,1214,5088,16.65,4.15,,,,,,,
,,9b1e13f2-7d2d-45e9-b106-3575aaf4fb51,CARRY,COMPLETE,TRUE,1,213.889,215.977612,alive,1214,1214,5088,16.65,4.15,18.45,7.85,,,,,
,,324dd0ea-ab7d-4e21-bbbd-e3847472d767,GENERIC:Pressure,,,1,214.135,,alive,1214,851,10658,102.25,75.75,,,,,,,
